DIA CERO,FECHA PRODUCCIÓN,ID PROGRAMA,PRECIO CURSO,FACTURACIÓN NETA,IMPORTE INSCRIPCIÓN,% INSCRIPCION,MEDIO PAGO PI,IMPORTE PENDIENTE PAGO,MEDIO PAGO IMPORTE PENDIENTE,NUMERO DE CUOTAS,FECHA 1ra CUOTA,FORMA DE PAGO,ASESOR,FECHA 1ra CUOTA ORIGINAL,FORMA DE PAGO ORIGINAL,TIPO PROGRAMA,NACIONALIDAD,PAÍS DE RESIDENCIA,AGRUPACION NACIONALIDAD,AGRUPACION PAÍS DE RESIDENCIA,MANTIENE MEDIO PAGO,DIFERENCIA PI vs. IMPORTE PTE,DIFERENCIA FECHA 1ra CUOTA - ORIGINAL,DIFERENCIA FECHA PRODUCCIÓN - 1ra CUOTA,% DTO,Moroso,% Impagado Actual Vdo,Importe Impagado Actual,Importe Cobrado
False,2023-08-28,700,7700.0,4870.03,731.02,0.15010585150399486,PAYBAY,4139.01,LINK DE PAGO,12,2024-04-01,APLAZADO,Viviana Cubas,2024-04-01,APLAZADO,MST,Puerto Rico,Puerto Rico,VIP,VIP,False,False,0.0,217.0,0.3675285714285714,True,0.8498911659616412,4138.8,731.0
False,2023-08-28,100,7500.0,5076.56,761.5,0.1500031517405487,TPVF,4315.06,LINK DE PAGO,12,2024-04-01,APLAZADO,Carlos Henao,2024-04-01,APLAZADO,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,False,False,0.0,217.0,0.32312533333333326,False,0.0,0.0,5076.700000000001
False,2023-08-28,100,7500.0,5076.56,761.48,0.1499992120648628,PAYBAY,4315.08,LINK DE PAGO,12,2024-04-01,APLAZADO,Nicolás Uriburu,2024-04-01,APLAZADO,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,False,False,0.0,217.0,0.32312533333333326,False,0.0,0.0,5076.599999999999
False,2023-02-23,750,7500.0,5850.0,1170.0,0.2,TARJETA,4680.0,TARJETA,12,2024-04-01,APLAZADO,Nicolás Uriburu,2024-04-01,APLAZADO,MST,Perú,Perú,PERÚ,PERÚ,True,True,0.0,403.0,0.21999999999999997,False,0.0,0.0,306.0
False,2023-08-29,990,13900.0,9151.060000000001,2013.2,0.21999637200499175,PAYBAY,7137.8600000000015,LINK DE PAGO,12,2024-04-01,APLAZADO,Nicolás Uriburu,2024-04-01,APLAZADO,MBA,Colombia,Colombia,COLOMBIA,COLOMBIA,False,False,0.0,216.0,0.3416503597122301,False,0.0,0.0,9150.800000000001
False,2023-08-29,960,7500.0,4809.37,721.41,0.15000093567348738,PAYBAY,4087.96,LINK DE PAGO,12,2024-04-01,APLAZADO,Patricia Yukiko,2024-04-01,APLAZADO,MST,El Salvador,El Salvador,VIP,VIP,False,False,0.0,216.0,0.35875066666666666,True,0.5825781078242177,2384.9,1708.8
False,2023-08-30,100,7500.0,4809.37,759.38,0.15789594063255685,PAYBAY,4049.99,LINK DE PAGO,14,2024-04-01,APLAZADO,Jackeline Ruiz,2024-04-01,APLAZADO,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,False,False,0.0,215.0,0.35875066666666666,True,0.1597463353778979,768.3,4041.2000000000003
False,2023-08-31,930,7700.0,4937.62,740.64,0.1499993924198298,PAYBAY,4196.98,LINK DE PAGO,15,2024-01-01,APLAZADO,Helena Reyes,2024-01-01,APLAZADO,MST,Costa Rica,Costa Rica,COSTA RICA,COSTA RICA,False,False,0.0,123.0,0.3587506493506494,False,0.0,0.0,4937.099999999999
False,2023-09-01,990,13900.0,8675.679999999998,867.6,0.10000368847168178,PAYBAY,7808.079999999998,LINK DE PAGO,16,2024-01-01,APLAZADO,Helena Reyes,2024-01-01,APLAZADO,MBA,Perú,Perú,PERÚ,PERÚ,False,False,0.0,122.0,0.37585035971223035,True,0.899994236643421,7807.9,867.6
False,2023-09-01,930,7700.0,4690.74,703.61,0.14999978681402082,PAYBAY,3987.1299999999997,LINK DE PAGO,16,2023-12-01,APLAZADO,Helena Reyes,2023-12-01,APLAZADO,MST,El Salvador,El Salvador,VIP,VIP,False,False,0.0,91.0,0.39081298701298706,False,0.0,0.0,4690.699999999999
False,2023-09-01,700,7500.0,4809.37,721.41,0.15000093567348738,TARJETA,4087.96,TARJETA,12,2024-01-01,APLAZADO,Silvia Campos,2024-01-01,APLAZADO,MST,Chile,Chile,CHILE,CHILE,True,True,0.0,122.0,0.35875066666666666,False,0.0,0.0,4809.799999999998
False,2023-09-04,900,13900.0,8444.25,844.43,0.10000059211889747,TRANSFERENCIA,7599.82,TRANSFERENCIA,16,2024-02-01,APLAZADO,Estefany Florez,2024-02-01,APLAZADO,MBA,Argentina,Argentina,R. LATAM,R. LATAM,True,True,0.0,150.0,0.39249999999999996,False,0.0,0.0,8444.4
False,2023-09-04,940,7500.0,5211.94,781.78,0.1499978894615057,TPVF,4430.16,LINK DE PAGO,12,2024-04-01,APLAZADO,Laura Parra,2024-04-01,APLAZADO,MST,Perú,Perú,PERÚ,PERÚ,False,False,0.0,210.0,0.3050746666666667,True,0.6126148549146495,2953.5999999999995,1867.7
False,2023-09-05,730,7500.0,4809.37,721.41,0.15000093567348738,PAYBAY,4087.96,LINK DE PAGO,12,2024-04-01,APLAZADO,Patricia Yukiko,2024-04-01,APLAZADO,MST,Ecuador,Ecuador,ECUADOR,ECUADOR,False,False,0.0,209.0,0.35875066666666666,False,0.0,0.0,4809.799999999999
False,2023-09-07,700,7700.0,5072.95,761.48,0.1501059541292542,PAYBAY,4311.469999999999,LINK DE PAGO,12,2023-10-01,APLAZADO,Germán Castro,2023-10-01,APLAZADO,MST,Venezuela,Chile,R. LATAM,CHILE,False,False,0.0,24.0,0.34117532467532474,False,0.0,0.0,5073.100000000001
False,2023-09-11,900,13900.0,9382.5,938.25,0.1,PAYBAY,8444.25,LINK DE PAGO,17,2024-01-01,APLAZADO,Alberto Viloria ,2024-01-01,APLAZADO,MBA,México,México,MÉXICO,MÉXICO,False,False,0.0,112.0,0.32499999999999996,True,0.6552035145907887,4504.0,2370.2
False,2023-09-08,940,7500.0,4681.12,702.2,0.15000683597087877,PAYBAY,3978.92,LINK DE PAGO,1,2024-03-01,CONTADO DIAS,Martha Sandoval,2024-03-01,CONTADO DIAS,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,False,False,0.0,175.0,0.37585066666666667,False,0.0,0.0,4681.1
False,2023-09-11,810,7500.0,4556.25,820.1,0.17999451303155006,PAYBAY,3736.15,LINK DE PAGO,17,2023-12-01,APLAZADO,Manuel Martínez,2023-12-01,APLAZADO,MST,Colombia,Panamá,COLOMBIA,VIP,False,False,0.0,81.0,0.39249999999999996,True,0.2103103190975727,958.3,3598.300000000001
False,2023-09-12,940,7500.0,4809.37,721.41,0.15000093567348738,PAYBAY,4087.96,LINK DE PAGO,14,2024-04-01,APLAZADO,Daniela Cabello,2024-04-01,APLAZADO,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,False,False,0.0,202.0,0.35875066666666666,False,0.0,0.0,4809.4
False,2023-09-13,750,7500.0,4000.0,721.41,0.1803525,PAYBAY,3278.59,LINK DE PAGO,14,2024-05-01,APLAZADO,Carlos Ruiz,2024-04-01,APLAZADO,MST,Ecuador,Ecuador,ECUADOR,ECUADOR,False,False,30.0,231.0,0.4666666666666667,False,0.0,0.0,4000.0
